id,category,difficulty,question_type,question,gold_summary,gold_key_points,decision,legal_caution,requires_multi_hop,unanswerable,gold_documents,gold_quotations,claim_evidence_mapping,decision_should_identify,decision_should_warn_about,decision_should_not_claim
B11,Trader Status,medium,scenario_application,Can an influencer be a trader without being incorporated as a company?,"Yes. The brief expressly discusses natural persons and one-person businesses, including people who have not registered a business.",natural persons can be traders | company incorporation is not decisive,yes,,False,False,Legal brief 3 | Legal brief 3,"af0abd28e801-legal-brief-3-chunk-5: 'Commercial activities' are all supposed to bring you revenue, so whether you're what lawyers would call a 'natural person', a one-person business (like a freelancer) or a registered company, you are considered a 'Trader' and the UCPD applies. [Legal brief 3] | af0abd28e801-legal-brief-3-chunk-12: The trader definition is no simple definition, because it needs to include businesses from all possible industries and of all possible categories - and as we have seen, even individuals who have not registered a business with a local Chamber of Commerce. [Legal brief 3]","natural persons can be traders -> af0abd28e801-legal-brief-3-chunk-5, af0abd28e801-legal-brief-3-chunk-12",,,
B12,Trader Status,hard,case_law,Does selling eight items online automatically make someone a trader under Kamenova?,No. The brief says the Kamenova criteria are not a mechanical checklist and that selling eight items did not automatically establish trader status.,Kamenova criteria are contextual | eight sales alone were not automatically decisive,no,,False,False,Legal brief 3 | Legal brief 8,"af0abd28e801-legal-brief-3-chunk-24: In its ruling, the Court ended up saying that just because this Bulgarian citizen wanted to sell eight products on an online platform, it did not automatically make her a trader. [Legal brief 3] | af0abd28e801-legal-brief-8-chunk-33: For instance, if you are selling your merchandise on social media platforms as a trader, this obligation will apply to you as well. [Legal brief 8]","Kamenova criteria are contextual -> af0abd28e801-legal-brief-3-chunk-24, af0abd28e801-legal-brief-8-chunk-33",,,
B13,Trader Status,hard,case_law,What kinds of factors did the Kamenova case identify as potentially relevant to trader status?,"Relevant factors include organisation of sales, profit intention, expertise, legal status, VAT, remuneration or incentives, resale activity, product type/value and concentration of the offer.","multiple contextual factors matter | VAT is one factor, not a standalone test",depends,,False,False,Legal brief 3 | Legal brief 7,"af0abd28e801-legal-brief-3-chunk-13: In this case, a Bulgarian citizen had published a total of eight product ads on olx.bg, and the question the Court had to answer was whether she qualified as a trader or not. [Legal brief 3] | af0abd28e801-legal-brief-7-chunk-2: According to the Consumer Sales Directive updated in 2019, a 'sales contract' is a transaction where the trader agrees to deliver a product and transfer ownership to a consumer, and the consumer agrees to pay a price. [Legal brief 7]","multiple contextual factors matter -> af0abd28e801-legal-brief-3-chunk-13, af0abd28e801-legal-brief-7-chunk-2",,,
B14,Trader Status,medium,scenario_application,I am not VAT-registered. Does that alone mean I cannot be a trader?,"No. VAT status is one factor mentioned in Kamenova, but the brief explicitly presents multiple factors and says the test is not a yes-or-no checklist.",VAT is only one factor | absence of VAT registration is not automatically decisive,no,,False,False,Legal brief 3 | Legal brief 3,"af0abd28e801-legal-brief-3-chunk-24: This is not a checklist that ends in a yes-or-no answer. [Legal brief 3] | af0abd28e801-legal-brief-3-chunk-25: If you have eight endorsement deals in a year, just like in *Kamenova*, you may not yet be considered a trader. [Legal brief 3]","VAT is only one factor -> af0abd28e801-legal-brief-3-chunk-24, af0abd28e801-legal-brief-3-chunk-25",,,
B15,Trader Status,medium,scenario_application,I receive free products and invitations regularly but little direct cash. Could that still be relevant to trader status?,"Yes. The brief says regular content activity can involve money or other benefits such as invitations, gifts and discounts.",non-cash benefits can matter | regularity is relevant,potentially yes,,False,False,Legal brief 3 | Legal brief 7,"af0abd28e801-legal-brief-3-chunk-26: To summarise, if you earn money or other benefits (e.g. invitations, gifts, discounts) by creating content on social media and you do it regularly, the chances are very high that you are a trader. [Legal brief 3] | af0abd28e801-legal-brief-7-chunk-29: If you do receive money for digital content or services, this means you need to be familiar and comply with certain standards in your commercial activity. [Legal brief 7]","non-cash benefits can matter -> af0abd28e801-legal-brief-3-chunk-26, af0abd28e801-legal-brief-7-chunk-29",,,
B16,Trader Status,hard,scenario_application,A creator reviews a gadget sent by a company and receives no money. Why could the review still be a commercial practice?,The brief gives reviews of products sent by companies as an example of communication that can be a commercial practice towards consumers.,product review can be commercial | company-provided product is relevant,potentially,,False,False,Legal brief 3 | Legal brief 2,af0abd28e801-legal-brief-3-chunk-9: Reviews may also be commercial practices: if you make a video about a restaurant launch party you were invited to or if you review a new gadget you were sent by a company. [Legal brief 3] | af0abd28e801-legal-brief-2-chunk-9: The Unfair Commercial Practices Directive is another example of how important fairness towards consumers is in European consumer policy. [Legal brief 2],"product review can be commercial -> af0abd28e801-legal-brief-3-chunk-9, af0abd28e801-legal-brief-2-chunk-9",,,
B17,Trader Status,medium,fact_retrieval,Can an agreement made through Instagram DMs potentially form a contract?,Yes. The brief says a meeting of the minds can form a contract and expressly includes agreements expressed in social-media direct messages.,DM agreements can be contracts | clear offer and acceptance are relevant,potentially yes,,False,False,Legal brief 3 | Legal brief 7,"af0abd28e801-legal-brief-3-chunk-3: This includes agreements which are expressed in Direct Messages on social media. [Legal brief 3] | af0abd28e801-legal-brief-7-chunk-5: b) be fit for any particular purpose for which the consumer requires them and which the consumer made known to the seller at the latest at the time of the conclusion of the sales contract, and in respect of which the seller has given acceptance; [Legal brief 7]","DM agreements can be contracts -> af0abd28e801-legal-brief-3-chunk-3, af0abd28e801-legal-brief-7-chunk-5",,,
B18,Trader Status,hard,decision_support,A brand offers me eight paid posts through Instagram DMs. What should I do to reduce uncertainty about the agreement?,The brief recommends considering a more formal written/electronically signed agreement because messages may disappear and formal documentation can help prove the agreement.,document the agreement formally | preserve evidence of terms,use a formal written agreement,,False,False,Legal brief 3 | Legal brief 9,"af0abd28e801-legal-brief-3-chunk-3: However, although the legal nature of these agreements does not need a more traditional paper contract, it is important to consider concluding contracts in a more formal way (e.g. by sending an electronically signed document via email), because that will often help you to prove your agreement. [Legal brief 3] | af0abd28e801-legal-brief-9-chunk-41: It would be helpful if the influencer has proof of their work with a date, e.g. documenting their work, or considering copyright registries for some works. [Legal brief 9]","document the agreement formally -> af0abd28e801-legal-brief-3-chunk-3, af0abd28e801-legal-brief-9-chunk-41","terms, evidence, payment and deliverables",contract law is not harmonised at EU level,
B19,Trader Status,hard,comparison,Why is the Kamenova list better treated as a set of factors than as a checklist?,The brief expressly says the criteria do not end in a yes-or-no answer; they help assess specific situations.,criteria are contextual | no single factor automatically decides trader status,context-dependent,,False,False,Legal brief 3 | Legal brief 5,af0abd28e801-legal-brief-3-chunk-24: This is not a checklist that ends in a yes-or-no answer. [Legal brief 3] | af0abd28e801-legal-brief-5-chunk-18: Legal Brief #8) to help you better understand what traders are supposed to do in these situations. [Legal brief 5],"criteria are contextual -> af0abd28e801-legal-brief-3-chunk-24, af0abd28e801-legal-brief-5-chunk-18",,,
B20,Trader Status,hard,scenario_application,A creator has a growing number of paid collaborations and regularly monetises content. What direction does the Hub suggest for trader status?,"Regular, increasingly commercial monetisation makes trader status more likely.",regular commercial activity | repeated monetisation,likely trader,,False,False,Legal brief 3 | Legal brief 3,"af0abd28e801-legal-brief-3-chunk-8: First, to qualify as a trader, **you need to make revenue through content monetisation** - basically any activity that you earn money with online as a content creator. [Legal brief 3] | af0abd28e801-legal-brief-3-chunk-26: To summarise, if you earn money or other benefits (e.g. invitations, gifts, discounts) by creating content on social media and you do it regularly, the chances are very high that you are a trader. [Legal brief 3]","regular commercial activity -> af0abd28e801-legal-brief-3-chunk-8, af0abd28e801-legal-brief-3-chunk-26",,,
C21,Advertising Disclosure,easy,fact_retrieval,When should an influencer make clear that content is advertising?,"Where the influencer is making advertising content, the audience should understand that it is advertising.",advertising content should be recognisable as advertising,yes,,False,False,Legal brief 6 | Legal brief 6,"af0abd28e801-legal-brief-6-chunk-5: But if you make any advertising content, the law is pretty clear: you need to make sure your audiences understand that it's advertising. [Legal brief 6] | af0abd28e801-legal-brief-6-chunk-14: So have no fear, if your audience loves your content, they will support your advertising. [Legal brief 6]","advertising content should be recognisable as advertising -> af0abd28e801-legal-brief-6-chunk-5, af0abd28e801-legal-brief-6-chunk-14",,,
C22,Advertising Disclosure,easy,scenario_application,I receive money to post a sponsored Instagram Story. Do I need a disclosure?,Yes. Paid endorsements are within the advertising models described and advertising disclosures are expected.,paid endorsement | disclosure expected,yes,,False,False,Legal brief 6 | Legal brief 6,"af0abd28e801-legal-brief-6-chunk-5: Advertising disclosures or labels are expected in all situations we just outlined - when you receive money in exchange for your advertising services as well as when you receive gifted products or services, or pretty much any benefit. [Legal brief 6] | af0abd28e801-legal-brief-6-chunk-2: a) **Endorsements**: that's when you receive money to make ads on any kind of social media platform or website - whether the content is temporary (like Instagram Stories) or permanent. [Legal brief 6]","paid endorsement -> af0abd28e801-legal-brief-6-chunk-5, af0abd28e801-legal-brief-6-chunk-2",,,
C23,Advertising Disclosure,easy,scenario_application,A brand gives me a free hotel room in exchange for promotion. Does the Hub treat this as potentially requiring disclosure?,Yes. Barter arrangements such as free hotel rooms in exchange for advertising are covered.,free hotel stay can be barter | advertising disclosure is expected,yes,,False,False,Legal brief 5 | Legal brief 6,"af0abd28e801-legal-brief-5-chunk-6: b) *Barters:* you receive things (e.g. free hotel rooms, clothing) in exchange for advertising or promoting a brand - this can mean 'gifted' products and services, or public relations activities (when you are invited to a restaurant or provided with a free video game to play on YouTube). [Legal brief 5] | af0abd28e801-legal-brief-6-chunk-3: b) **Barters**: that's when you receive things (e.g. free hotel rooms, clothing) to make ads for brands - this can mean 'gifted' products and services, or public relations activities (when you are invited to a restaurant or provided with a free video game to play on YouTube). [Legal brief 6]","free hotel stay can be barter -> af0abd28e801-legal-brief-5-chunk-6, af0abd28e801-legal-brief-6-chunk-3",,,
C24,Advertising Disclosure,easy,scenario_application,A creator receives a free video game from a company and is expected to promote it. Is this potentially commercial content?,Yes. The brief specifically uses a free video game and other PR activities as examples of barter.,gifted goods/services can be barter | commercial benefit can trigger disclosure,potentially yes,,False,False,Legal brief 6 | Legal brief 6,"af0abd28e801-legal-brief-6-chunk-3: b) **Barters**: that's when you receive things (e.g. free hotel rooms, clothing) to make ads for brands - this can mean 'gifted' products and services, or public relations activities (when you are invited to a restaurant or provided with a free video game to play on YouTube). [Legal brief 6] | af0abd28e801-legal-brief-6-chunk-5: Advertising disclosures or labels are expected in all situations we just outlined - when you receive money in exchange for your advertising services as well as when you receive gifted products or services, or pretty much any benefit. [Legal brief 6]","gifted goods/services can be barter -> af0abd28e801-legal-brief-6-chunk-3, af0abd28e801-legal-brief-6-chunk-5",,,
C25,Advertising Disclosure,medium,scenario_application,I earn a percentage of sales through an affiliate link. Is that treated as advertising in the Hub?,Affiliate marketing is one of the monetisation models and advertising disclosures are expected for it.,affiliate commission | affiliate marketing should be disclosed,yes,,False,False,Legal brief 5 | Legal brief 6,"af0abd28e801-legal-brief-5-chunk-1: Influencer marketing is only one of the business models that grew in the booming content monetisation economy - where individuals are able to earn money through creating content for social media. [Legal brief 5] | af0abd28e801-legal-brief-6-chunk-4: c) **Affiliate marketing**: that's when you receive a percentage of every sale you drive, often based on advertising what is being sold. [Legal brief 6]","affiliate commission -> af0abd28e801-legal-brief-5-chunk-1, af0abd28e801-legal-brief-6-chunk-4",,,
C26,Advertising Disclosure,medium,scenario_application,A PR package arrives without an explicit instruction to post. Should the creator consider disclosure if they feature the products?,Yes. The brief says PR packages can carry an implicit advertising expectation and recommends considering disclosure.,PR packages can create an implicit advertising expectation | disclosure is safer when featured,consider disclosure,,False,False,Legal brief 6 | Legal brief 6,"af0abd28e801-legal-brief-6-chunk-7: Especially when sending PR packages to influencers, companies will have an implicit expectation that you would review and promote the goods and/or services (even if they know that not everyone will feature or review their [Legal brief 6] | af0abd28e801-legal-brief-6-chunk-11: For this reason, it's better to consider disclosing content made with PR packages also as advertising. [Legal brief 6]","PR packages can create an implicit advertising expectation -> af0abd28e801-legal-brief-6-chunk-7, af0abd28e801-legal-brief-6-chunk-11",,,
C27,Advertising Disclosure,hard,scenario_application,A creator receives a complimentary haircut and posts a positive video about the salon. Is the free service potentially relevant to disclosure?,Yes. The brief expressly includes a gifted haircut as an example of a service with asset value connected to advertising.,free service can be a benefit with asset value | advertising link matters,potentially yes,,False,False,Legal brief 6 | Legal brief 5,"af0abd28e801-legal-brief-6-chunk-6: This also includes services - for example if you are gifted a haircut, to test-drive a car or have a complimentary stay at a hotel. [Legal brief 6] | af0abd28e801-legal-brief-5-chunk-13: This leads to similar advertising disclosure or labeling issues that are covered by the UCPD - meaning you should follow the best practice advice we gave you earlier in the video. [Legal brief 5]","free service can be a benefit with asset value -> af0abd28e801-legal-brief-6-chunk-6, af0abd28e801-legal-brief-5-chunk-13",,,
C28,Advertising Disclosure,hard,conceptual,What is an 'advertorial' in the context described by the Hub?,"It is content that can look objective or organic but actually includes advertising, creating a risk of misleading consumers.",advertorial can look like ordinary content | undisclosed advertorials are prohibited under the cited UCPD provision,must be disclosed,,False,False,Legal brief 6 | Legal brief 6,"af0abd28e801-legal-brief-6-chunk-6: Advertorials are media content giving information about a product or a service in a way that may come across as objective (just like your other non-sponsored content), when in fact it includes advertising. [Legal brief 6] | af0abd28e801-legal-brief-6-chunk-14: There's a very big debate around how content labelled as advertising performs on social media, but research has shown that some disclosed content actually performs as good as or even better than undisclosed or non-sponsored content. [Legal brief 6]","advertorial can look like ordinary content -> af0abd28e801-legal-brief-6-chunk-6, af0abd28e801-legal-brief-6-chunk-14",,,
C29,Advertising Disclosure,hard,fact_retrieval,What does UCPD Annex point 11 prohibit according to the advertising brief?,It prohibits undisclosed advertorials where the relevant advertising relationship is not disclosed.,point 11 addresses advertorials | undisclosed advertorials are prohibited,prohibited,,False,False,Legal brief 6 | Legal brief 6,"af0abd28e801-legal-brief-6-chunk-6: Point 11 prohibits undisclosed advertorials. [Legal brief 6] | af0abd28e801-legal-brief-6-chunk-14: There's a very big debate around how content labelled as advertising performs on social media, but research has shown that some disclosed content actually performs as good as or even better than undisclosed or non-sponsored content. [Legal brief 6]","point 11 addresses advertorials -> af0abd28e801-legal-brief-6-chunk-6, af0abd28e801-legal-brief-6-chunk-14",,,
C30,Advertising Disclosure,medium,scenario_application,"If I receive a benefit but it is not cash, does the Hub say disclosure is unnecessary?","No. The brief expressly extends disclosure expectations to gifted products, services and other benefits.",non-cash benefits can trigger disclosure | cash is not the only relevant consideration,no,,False,False,Legal brief 6 | Legal brief 7,"af0abd28e801-legal-brief-6-chunk-5: Advertising disclosures or labels are expected in all situations we just outlined - when you receive money in exchange for your advertising services as well as when you receive gifted products or services, or pretty much any benefit. [Legal brief 6] | af0abd28e801-legal-brief-7-chunk-1: When you sell goods and services to your consumer audience, you need to make sure that they receive what they were promised within a reasonable time, according to your agreement, and that the quality of what they ordered reflects both of your expectations. [Legal brief 7]","non-cash benefits can trigger disclosure -> af0abd28e801-legal-brief-6-chunk-5, af0abd28e801-legal-brief-7-chunk-1",,,
C31,Advertising Disclosure,medium,scenario_application,"Is a disclosure still relevant when the content is temporary, such as an Instagram Story?","Yes. Endorsements can include temporary content, and advertising disclosures are expected for advertising content.",temporary content can be advertising | disclosure applies,yes,,False,False,Legal brief 6 | Legal brief 5,af0abd28e801-legal-brief-6-chunk-2: a) **Endorsements**: that's when you receive money to make ads on any kind of social media platform or website - whether the content is temporary (like Instagram Stories) or permanent. [Legal brief 6] | af0abd28e801-legal-brief-5-chunk-5: a) *Endorsements:* you receive money to create ads on any kind of social media platform or website - whether the content is temporary (like Instagram Stories) or permanent. [Legal brief 5],"temporary content can be advertising -> af0abd28e801-legal-brief-6-chunk-2, af0abd28e801-legal-brief-5-chunk-5",,,
C32,Advertising Disclosure,hard,decision_support,Where should I put an advertising disclosure so consumers can easily see it?,The brief recommends placing it where consumers can easily spot it and warns against requiring them to scroll or click 'read more'.,disclosure should be easily visible | avoid hidden/low-visibility placement,make it prominent,,False,False,Legal brief 6 | Legal brief 4,"af0abd28e801-legal-brief-6-chunk-15: The second easiest way to disclose advertising is to make sure that you add the right words in a place where consumers can easily spot them. [Legal brief 6] | af0abd28e801-legal-brief-4-chunk-2: This Directive sets out strict rules prohibiting hidden advertising, as well as subliminal techniques for advertising. [Legal brief 4]","disclosure should be easily visible -> af0abd28e801-legal-brief-6-chunk-15, af0abd28e801-legal-brief-4-chunk-2","placement, visibility, platform tools",national authorities may have additional expectations,
C33,Advertising Disclosure,hard,scenario_application,I put '#ad' at the very end of a long Instagram caption. Is that necessarily safe?,Not necessarily. The brief warns that disclosures at the end of long captions may not be easily seen.,visibility matters | end-of-caption disclosure may be inadequate,not necessarily,,False,False,Legal brief 6 | Legal brief 6,"af0abd28e801-legal-brief-6-chunk-15: If you add a disclosure at the very end of a long caption, maybe not everyone will get to see it. [Legal brief 6] | af0abd28e801-legal-brief-6-chunk-14: But at the end of the day, it's important to communicate disclosures to your audience in a way that would leave no interpretation that certain content is advertising. [Legal brief 6]","visibility matters -> af0abd28e801-legal-brief-6-chunk-15, af0abd28e801-legal-brief-6-chunk-14",,,
C34,Advertising Disclosure,hard,scenario_application,I mention that a video is an ad only in the final seconds. Could that be a problem?,"Yes. If consumers do not watch the whole video, they may not see the disclosure; the brief therefore stresses easy visibility.",disclosure must be easy to see | video-only disclosure can be missed,potential problem,,False,False,Legal brief 6 | Legal brief 5,"af0abd28e801-legal-brief-6-chunk-15: If consumers don't watch the whole video (including the part where you mention it's an ad), they will likely not be able to easily see your disclosure. [Legal brief 6] | af0abd28e801-legal-brief-5-chunk-15: Similarly, there may also be problems with the quality of the content delivered - if you promise to call for five minutes, then this must be fulfilled, the calls cannot last thirty seconds. [Legal brief 5]","disclosure must be easy to see -> af0abd28e801-legal-brief-6-chunk-15, af0abd28e801-legal-brief-5-chunk-15",,,
C35,Advertising Disclosure,medium,comparison,Is using a platform's paid-partnership label the only possible disclosure method?,No. The brief mentions platform features as an easy option but also discusses clear words or hashtags in visible places.,platform features are one option | clear words/hashtags can also be used,no,,False,False,Legal brief 6 | Legal brief 6,"af0abd28e801-legal-brief-6-chunk-14: **How can I make my disclosure clear? ** There's a lot of hashtags and words used for disclosures, depending on the language, such as ambassador, partner, or gifted. [Legal brief 6] | af0abd28e801-legal-brief-6-chunk-12: You can find a concrete overview of the disclosure hashtags recommended by self-regulatory organisations by using the new DiscloseMe tool by the European Advertising Standards Alliance. [Legal brief 6]","platform features are one option -> af0abd28e801-legal-brief-6-chunk-14, af0abd28e801-legal-brief-6-chunk-12",,,
C36,Advertising Disclosure,hard,comparison,Why might '#partner' or '#ambassador' be less clear than an explicit advertising disclosure?,The brief says disclosures should leave no interpretation that the content is advertising and notes that generic terms can be used differently.,clarity is the key criterion | ambiguous terminology may leave room for interpretation,use an unambiguous disclosure,,False,False,Legal brief 6 | Legal brief 6,"af0abd28e801-legal-brief-6-chunk-14: But at the end of the day, it's important to communicate disclosures to your audience in a way that would leave no interpretation that certain content is advertising. [Legal brief 6] | af0abd28e801-legal-brief-6-chunk-5: But if you make any advertising content, the law is pretty clear: you need to make sure your audiences understand that it's advertising. [Legal brief 6]","clarity is the key criterion -> af0abd28e801-legal-brief-6-chunk-14, af0abd28e801-legal-brief-6-chunk-5",,,
D37,Content Monetisation,easy,fact_retrieval,What three influencer-marketing deal types are highlighted in the Hub?,"Endorsements, barters and affiliate marketing are highlighted.",endorsement | barter | affiliate marketing,three main types,,False,False,Legal brief 6 | Legal brief 6,"af0abd28e801-legal-brief-6-chunk-15: The easiest is to use the features offered by the platforms you're on (but remember to do that also for affiliate marketing or barters!). [Legal brief 6] | af0abd28e801-legal-brief-6-chunk-4: c) **Affiliate marketing**: that's when you receive a percentage of every sale you drive, often based on advertising what is being sold. [Legal brief 6]","endorsement -> af0abd28e801-legal-brief-6-chunk-15, af0abd28e801-legal-brief-6-chunk-4",,,
D38,Content Monetisation,easy,conceptual,What is an endorsement in the Hub's monetisation model?,An endorsement involves receiving money to create advertising content.,money exchanged for advertising,endorsement,,False,False,Legal brief 5 | Legal brief 5,af0abd28e801-legal-brief-5-chunk-1: Influencer marketing is only one of the business models that grew in the booming content monetisation economy - where individuals are able to earn money through creating content for social media. [Legal brief 5] | af0abd28e801-legal-brief-5-chunk-5: a) *Endorsements:* you receive money to create ads on any kind of social media platform or website - whether the content is temporary (like Instagram Stories) or permanent. [Legal brief 5],"money exchanged for advertising -> af0abd28e801-legal-brief-5-chunk-1, af0abd28e801-legal-brief-5-chunk-5",,,
